time,aqi,pm2_5,pm10,co,no2,o3,so2,rank,temp,humi,wse,wd,tq
2014-03-01 09:00:00,18,11,14,1.1,30,35,14,5,9.0,94,1.0,东风,小雨
2014-03-01 10:00:00,18,12,16,1.1,31,37,15,4,9.0,94,1.0,东风,小雨
2014-03-01 11:00:00,23,16,19,1.0,25,45,22,7,10.0,82,2.0,东北风,小雨
2014-03-01 12:00:00,26,18,23,0.9,28,43,22,10,9.0,93,1.0,西南风,小雨
2014-03-01 13:00:00,36,25,30,1.0,33,35,20,30,10.0,90,1.0,东北风,小雨
2014-03-01 14:00:00,30,21,29,0.9,36,36,19,15,10.0,83,1.0,东风,小雨
2014-03-01 15:00:00,37,26,33,0.8,46,20,22,33,10.0,82,1.0,东南风,小雨
2014-03-01 16:00:00,49,34,39,0.8,49,15,24,58,8.0,89,2.0,东风,小雨
2014-03-01 17:00:00,46,32,37,0.9,45,15,16,52,8.0,94,3.0,东风,小雨
2014-03-01 18:00:00,53,37,34,0.9,45,16,11,65,7.0,95,3.0,东风,小雨转阴
2014-03-01 19:00:00,47,33,30,0.9,44,21,9,36,7.0,94,2.0,东风,小雨转阴
2014-03-01 20:00:00,36,25,20,0.9,46,21,9,13,7.0,92,2.0,东风,小雨转阴
2014-03-01 21:00:00,26,18,21,0.9,43,20,8,5,6.0,93,2.0,东风,小雨转阴
2014-03-01 22:00:00,30,21,21,0.9,40,19,10,11,6.0,93,2.0,东风,小雨转阴
2014-03-01 23:00:00,39,27,0,1.0,42,15,10,16,6.0,93,2.0,东风,小雨转阴
2014-03-02 00:00:00,47,33,0,1.0,36,19,11,33,6.0,92,2.0,东风,小雨转阴
2014-03-02 01:00:00,53,37,0,1.0,34,19,11,37,6.0,93,2.0,东风,小雨转阴
2014-03-02 02:00:00,61,43,0,1.0,40,12,13,52,6.0,92,2.0,东风,小雨转阴
2014-03-02 03:00:00,68,49,0,1.0,40,10,14,68,6.0,91,2.0,东风,小雨转阴
2014-03-02 04:00:00,80,59,0,1.0,38,12,15,91,6.0,89,2.0,东风,小雨转阴
